Partition,Reciprocal Scores,Coalition-wise,Partition-wise
"[[1], [2], [3], [4, 5, 6, 7], [8, 9, 10, 11]]","['1/36', '1/36', '1/36', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144']",Yes,No
"[[1], [2], [3, 4], [5, 6, 7], [8, 9, 10, 11]]","['1/36', '1/36', '1/72', '1/72', '1/108', '1/108', '1/108', '1/144', '1/144', '1/144', '1/144']",Yes,No
"[[1], [2], [3, 4, 5], [6, 7, 8], [9, 10, 11]]","['1/36', '1/36', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108']",Yes,No
"[[1], [2, 3], [4, 5], [6, 7, 8], [9, 10, 11]]","['1/36', '1/72', '1/72', '1/72', '1/72', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108']",Yes,No
"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","['1/9', '1/99', '1/99', '1/99', '1/99', '1/99', '1/99', '1/99', '1/99', '1/99', '1/99', '1/99']",Yes,No
"[[1], [2], [3, 4, 5, 6, 7, 8, 9, 10, 11, 12]]","['1/16', '1/16', '1/160', '1/160', '1/160', '1/160', '1/160', '1/160', '1/160', '1/160', '1/160', '1/160']",Yes,No
"[[1], [2], [3, 4, 5, 6], [7, 8, 9, 10, 11, 12]]","['1/25', '1/25', '1/100', '1/100', '1/100', '1/100', '1/150', '1/150', '1/150', '1/150', '1/150', '1/150']",Yes,No
"[[1], [2], [3, 4, 5, 6, 7], [8, 9, 10, 11, 12]]","['1/25', '1/25', '1/125', '1/125', '1/125', '1/125', '1/125', '1/125', '1/125', '1/125', '1/125', '1/125']",Yes,No
"[[1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11, 12]]","['1/48', '1/48', '1/48', '1/64', '1/64', '1/64', '1/64', '1/80', '1/80', '1/80', '1/80', '1/80']",Yes,No
"[[1], [2], [3, 4], [5, 6, 7, 8], [9, 10, 11, 12]]","['1/36', '1/36', '1/72', '1/72', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144']",Yes,No
"[[1], [2], [3, 4, 5], [6, 7, 8], [9, 10, 11, 12]]","['1/36', '1/36', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/144', '1/144', '1/144', '1/144']",Yes,No
"[[1], [2, 3], [4, 5], [6, 7, 8], [9, 10, 11, 12]]","['1/36', '1/72', '1/72', '1/72', '1/72', '1/108', '1/108', '1/108', '1/144', '1/144', '1/144', '1/144']",Yes,No
"[[1], [2, 3], [4, 5, 6], [7, 8, 9], [10, 11, 12]]","['1/36', '1/72', '1/72', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108']",Yes,No
"[[1], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","['1/9', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108']",Yes,No
"[[1], [2], [3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]]","['1/16', '1/16', '1/176', '1/176', '1/176', '1/176', '1/176', '1/176', '1/176', '1/176', '1/176', '1/176', '1/176']",Yes,No
"[[1], [2], [3, 4, 5, 6], [7, 8, 9, 10, 11, 12, 13]]","['1/25', '1/25', '1/100', '1/100', '1/100', '1/100', '1/175', '1/175', '1/175', '1/175', '1/175', '1/175', '1/175']",Yes,No
"[[1, 2], [3, 4], [5, 6], [7, 8, 9, 10, 11, 12, 13]]","['1/50', '1/50', '1/50', '1/50', '1/50', '1/50', '1/175', '1/175', '1/175', '1/175', '1/175', '1/175', '1/175']",Yes,No
"[[1], [2], [3, 4, 5, 6, 7], [8, 9, 10, 11, 12, 13]]","['1/25', '1/25', '1/125', '1/125', '1/125', '1/125', '1/125', '1/150', '1/150', '1/150', '1/150', '1/150', '1/150']",Yes,No
"[[1, 2], [3, 4], [5, 6, 7], [8, 9, 10, 11, 12, 13]]","['1/50', '1/50', '1/50', '1/50', '1/75', '1/75', '1/75', '1/150', '1/150', '1/150', '1/150', '1/150', '1/150']",Yes,No
"[[1, 2, 3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13]]","['1/48', '1/48', '1/48', '1/80', '1/80', '1/80', '1/80', '1/80', '1/80', '1/80', '1/80', '1/80', '1/80']",Yes,No
"[[1], [2], [3], [4, 5, 6, 7, 8], [9, 10, 11, 12, 13]]","['1/36', '1/36', '1/36', '1/180', '1/180', '1/180', '1/180', '1/180', '1/180', '1/180', '1/180', '1/180', '1/180']",Yes,No
"[[1, 2], [3, 4], [5, 6, 7, 8], [9, 10, 11, 12, 13]]","['1/50', '1/50', '1/50', '1/50', '1/100', '1/100', '1/100', '1/100', '1/125', '1/125', '1/125', '1/125', '1/125']",Yes,No
"[[1], [2], [3, 4], [5, 6, 7, 8], [9, 10, 11, 12, 13]]","['1/36', '1/36', '1/72', '1/72', '1/144', '1/144', '1/144', '1/144', '1/180', '1/180', '1/180', '1/180', '1/180']",Yes,No
"[[1, 2], [3, 4, 5], [6, 7, 8], [9, 10, 11, 12, 13]]","['1/50', '1/50', '1/75', '1/75', '1/75', '1/75', '1/75', '1/75', '1/125', '1/125', '1/125', '1/125', '1/125']",Yes,No
"[[1], [2], [3, 4, 5], [6, 7, 8], [9, 10, 11, 12, 13]]","['1/36', '1/36', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/180', '1/180', '1/180', '1/180', '1/180']",Yes,No
"[[1], [2, 3, 4, 5], [6, 7, 8, 9], [10, 11, 12, 13]]","['1/25', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100']",Yes,No
"[[1, 2], [3, 4, 5], [6, 7, 8, 9], [10, 11, 12, 13]]","['1/50', '1/50', '1/75', '1/75', '1/75', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100', '1/100']",Yes,No
"[[1], [2], [3, 4, 5], [6, 7, 8, 9], [10, 11, 12, 13]]","['1/36', '1/36', '1/108', '1/108', '1/108', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144']",Yes,No
"[[1], [2, 3], [4, 5], [6, 7, 8, 9], [10, 11, 12, 13]]","['1/36', '1/72', '1/72', '1/72', '1/72', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144', '1/144']",Yes,No
"[[1], [2], [3], [4, 5], [6, 7, 8, 9], [10, 11, 12, 13]]","['1/49', '1/49', '1/49', '1/98', '1/98', '1/196', '1/196', '1/196', '1/196', '1/196', '1/196', '1/196', '1/196']",Yes,No
"[[1], [2, 3], [4, 5, 6], [7, 8, 9], [10, 11, 12, 13]]","['1/36', '1/72', '1/72', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/144', '1/144', '1/144', '1/144']",Yes,No
"[[1], [2], [3], [4, 5, 6], [7, 8, 9], [10, 11, 12, 13]]","['1/49', '1/49', '1/49', '1/147', '1/147', '1/147', '1/147', '1/147', '1/147', '1/196', '1/196', '1/196', '1/196']",Yes,No
"[[1], [2], [3, 4], [5, 6], [7, 8, 9], [10, 11, 12, 13]]","['1/49', '1/49', '1/98', '1/98', '1/98', '1/98', '1/147', '1/147', '1/147', '1/196', '1/196', '1/196', '1/196']",Yes,No
"[[1], [2, 3], [4, 5], [6, 7], [8, 9], [10, 11, 12, 13]]","['1/49', '1/98', '1/98', '1/98', '1/98', '1/98', '1/98', '1/98', '1/98', '1/196', '1/196', '1/196', '1/196']",Yes,No
"[[1], [2, 3, 4], [5, 6, 7], [8, 9, 10], [11, 12, 13]]","['1/36', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108', '1/108']",Yes,No
"[[1], [2], [3, 4], [5, 6, 7], [8, 9, 10], [11, 12, 13]]","['1/49', '1/49', '1/98', '1/98', '1/147', '1/147', '1/147', '1/147', '1/147', '1/147', '1/147', '1/147', '1/147']",Yes,No
"[[1], [2, 3], [4, 5], [6, 7], [8, 9, 10], [11, 12, 13]]","['1/49', '1/98', '1/98', '1/98', '1/98', '1/98', '1/98', '1/147', '1/147', '1/147', '1/147', '1/147', '1/147']",Yes,No
